split,image_path,label_path
train,dataset\train\images\1_16-xcx_mp4-0_jpg.rf.51304716ad89b80b9e56a240cf22fbeb.jpg,dataset\train\labels\1_16-xcx_mp4-0_jpg.rf.51304716ad89b80b9e56a240cf22fbeb.txt
train,dataset\train\images\1_16-xcx_mp4-1009_jpg.rf.94be9721c5c84e431c6f3175f6565af8.jpg,dataset\train\labels\1_16-xcx_mp4-1009_jpg.rf.94be9721c5c84e431c6f3175f6565af8.txt
train,dataset\train\images\1_16-xcx_mp4-1010_jpg.rf.466af9bb1637cf9d2e6c8f032812e451.jpg,dataset\train\labels\1_16-xcx_mp4-1010_jpg.rf.466af9bb1637cf9d2e6c8f032812e451.txt
train,dataset\train\images\1_16-xcx_mp4-1014_jpg.rf.d5840faf51144a16682ed0ecfb32b530.jpg,dataset\train\labels\1_16-xcx_mp4-1014_jpg.rf.d5840faf51144a16682ed0ecfb32b530.txt
train,dataset\train\images\1_16-xcx_mp4-1015_jpg.rf.c4c83877c1e6ca0b46be9135824e0e51.jpg,dataset\train\labels\1_16-xcx_mp4-1015_jpg.rf.c4c83877c1e6ca0b46be9135824e0e51.txt
train,dataset\train\images\1_16-xcx_mp4-1016_jpg.rf.8c2fc7bd59c825410d5eb0078c898727.jpg,dataset\train\labels\1_16-xcx_mp4-1016_jpg.rf.8c2fc7bd59c825410d5eb0078c898727.txt
train,dataset\train\images\1_16-xcx_mp4-1017_jpg.rf.f98ff570f36389d78b8649d9ecdc3650.jpg,dataset\train\labels\1_16-xcx_mp4-1017_jpg.rf.f98ff570f36389d78b8649d9ecdc3650.txt
train,dataset\train\images\1_16-xcx_mp4-1018_jpg.rf.47de9f82dc6940c8d172772189f51cad.jpg,dataset\train\labels\1_16-xcx_mp4-1018_jpg.rf.47de9f82dc6940c8d172772189f51cad.txt
train,dataset\train\images\1_16-xcx_mp4-1020_jpg.rf.18849de1278e611f05af238c17b9a8f5.jpg,dataset\train\labels\1_16-xcx_mp4-1020_jpg.rf.18849de1278e611f05af238c17b9a8f5.txt
train,dataset\train\images\1_16-xcx_mp4-1021_jpg.rf.d82a9627e499d9f4d069ff0580087a88.jpg,dataset\train\labels\1_16-xcx_mp4-1021_jpg.rf.d82a9627e499d9f4d069ff0580087a88.txt
train,dataset\train\images\1_16-xcx_mp4-1028_jpg.rf.f11a4471fd4dc3623e8cbd8512fb548c.jpg,dataset\train\labels\1_16-xcx_mp4-1028_jpg.rf.f11a4471fd4dc3623e8cbd8512fb548c.txt
train,dataset\train\images\1_16-xcx_mp4-1030_jpg.rf.9dcc2fc6dcd9266abd4525804a89c0b1.jpg,dataset\train\labels\1_16-xcx_mp4-1030_jpg.rf.9dcc2fc6dcd9266abd4525804a89c0b1.txt
train,dataset\train\images\1_16-xcx_mp4-1031_jpg.rf.1979ecc1c0a5e10d7f871c9610fd57e6.jpg,dataset\train\labels\1_16-xcx_mp4-1031_jpg.rf.1979ecc1c0a5e10d7f871c9610fd57e6.txt
train,dataset\train\images\1_16-xcx_mp4-1032_jpg.rf.b11b30e8143c08a5076fbcc839a83537.jpg,dataset\train\labels\1_16-xcx_mp4-1032_jpg.rf.b11b30e8143c08a5076fbcc839a83537.txt
train,dataset\train\images\1_16-xcx_mp4-1034_jpg.rf.a8b6988a134340b3189697051137c293.jpg,dataset\train\labels\1_16-xcx_mp4-1034_jpg.rf.a8b6988a134340b3189697051137c293.txt
