epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3186,1.72018,4.76013,1.34721,0.02444,0.13133,0.03422,0.0158,1.2459,3.86761,1.02363,0.0901,0.0001,0.0001
2,18.6921,1.29823,3.28038,1.08084,0.02444,0.13133,0.03422,0.0158,3.43408,4.74626,2.56318,0.0792099,0.000209879,0.000209879
3,24.0856,1.17846,2.37063,1.057,0.02444,0.13133,0.03422,0.0158,2.91315,5.19491,2.35803,0.0683193,0.000319261,0.000319261
4,29.5218,1.08892,1.96446,1.02924,0.02444,0.13133,0.03422,0.0158,1.39944,5.1707,1.25316,0.0574278,0.000427766,0.000427766
5,35.0562,1.00724,1.70511,0.98763,0.11042,0.00769,0.05868,0.05114,1.00088,4.97132,0.93836,0.046535,0.00053502,0.00053502
6,40.5489,1.01473,1.64461,0.99872,0.09475,0.07534,0.07922,0.05968,1.10132,4.73126,0.96382,0.0356407,0.000640651,0.000640651
7,46.491,0.93848,1.3508,0.96212,0.23279,0.31028,0.2695,0.20764,1.03907,3.9219,0.97591,0.0247443,0.000744292,0.000744292
8,52.37,0.95982,1.26358,0.97331,0.19734,0.15623,0.16199,0.11572,0.98112,4.56168,0.94679,0.0138456,0.000845587,0.000845587
9,58.2388,0.91224,1.18091,0.94914,0.27098,0.59518,0.41225,0.29348,0.99487,3.24701,0.96729,0.00294419,0.000944187,0.000944187
10,64.1386,0.93634,1.15082,0.97425,0.76082,0.29979,0.49535,0.37521,0.93601,2.48039,0.95038,0.000953903,0.000953903,0.000953903
11,70.1514,0.88965,1.03706,0.95933,0.87457,0.2555,0.54327,0.38395,0.98337,2.46395,0.96132,0.000943301,0.000943301,0.000943301
12,76.0148,0.90071,1.02847,0.96134,0.78137,0.48557,0.60155,0.46902,0.85506,1.60739,0.92995,0.000931675,0.000931675,0.000931675
13,81.7704,0.85345,0.99131,0.93581,0.84747,0.50811,0.67482,0.51142,0.87779,1.62169,0.94138,0.000919053,0.000919053,0.000919053
14,87.7513,0.86381,0.96397,0.96207,0.81934,0.68887,0.78202,0.60214,0.80477,1.05998,0.92773,0.000905463,0.000905463,0.000905463
15,93.6141,0.83523,0.88114,0.94025,0.82975,0.7311,0.80239,0.6222,0.79015,0.92315,0.91906,0.000890939,0.000890939,0.000890939
16,99.5213,0.81435,0.85596,0.93128,0.8788,0.69443,0.78178,0.59309,0.79955,0.94508,0.92058,0.000875513,0.000875513,0.000875513
17,105.465,0.81493,0.84819,0.93109,0.65312,0.65208,0.71581,0.56019,0.7493,1.00278,0.89346,0.000859221,0.000859221,0.000859221
18,111.389,0.81688,0.85009,0.91138,0.6507,0.84637,0.83442,0.62502,0.80629,0.8574,0.93185,0.000842103,0.000842103,0.000842103
19,117.326,0.83373,0.85283,0.92825,0.71056,0.81543,0.81388,0.62753,0.76754,0.90818,0.91765,0.000824197,0.000824197,0.000824197
20,123.202,0.78244,0.79245,0.90551,0.74257,0.77323,0.75989,0.60022,0.77858,0.88986,0.91027,0.000805545,0.000805545,0.000805545
21,129.196,0.77209,0.78302,0.90753,0.86799,0.72083,0.78274,0.60797,0.75236,0.81576,0.90999,0.000786192,0.000786192,0.000786192
22,135.149,0.75051,0.76806,0.90861,0.86976,0.66939,0.76499,0.59429,0.75154,0.84418,0.90217,0.000766182,0.000766182,0.000766182
23,141.149,0.78654,0.75773,0.91656,0.83961,0.759,0.83481,0.65205,0.72987,0.78899,0.88311,0.000745562,0.000745562,0.000745562
24,147.056,0.76377,0.74918,0.89662,0.84837,0.83691,0.85793,0.65114,0.80632,0.77694,0.92523,0.00072438,0.00072438,0.00072438
25,153.002,0.76895,0.74618,0.91247,0.82402,0.7787,0.83698,0.65975,0.72645,0.72017,0.88007,0.000702685,0.000702685,0.000702685
26,158.87,0.77051,0.72511,0.90117,0.79656,0.79844,0.84963,0.66987,0.74255,0.69741,0.88481,0.000680529,0.000680529,0.000680529
27,164.735,0.73404,0.69277,0.88247,0.86773,0.8339,0.87179,0.69964,0.71208,0.70395,0.8768,0.000657963,0.000657963,0.000657963
28,170.645,0.74188,0.68865,0.88376,0.83683,0.8223,0.86523,0.6802,0.71972,0.69501,0.8833,0.00063504,0.00063504,0.00063504
29,176.414,0.73901,0.69439,0.88132,0.84136,0.80193,0.86967,0.68639,0.69768,0.68178,0.87844,0.000611813,0.000611813,0.000611813
30,182.449,0.71513,0.66654,0.88246,0.74302,0.84633,0.86923,0.69183,0.74012,0.7023,0.89453,0.000588337,0.000588337,0.000588337
31,188.267,0.69742,0.66259,0.87553,0.86182,0.81592,0.86585,0.69741,0.6798,0.60379,0.87832,0.000564666,0.000564666,0.000564666
32,194.047,0.68386,0.64519,0.8812,0.80656,0.84688,0.86894,0.69365,0.67886,0.62412,0.87498,0.000540855,0.000540855,0.000540855
33,199.994,0.68657,0.63375,0.87152,0.82326,0.81063,0.84417,0.68526,0.65286,0.68767,0.8681,0.000516961,0.000516961,0.000516961
34,205.906,0.69526,0.62435,0.87685,0.84291,0.83511,0.85828,0.70002,0.67554,0.62778,0.86686,0.000493039,0.000493039,0.000493039
35,211.813,0.7,0.60688,0.87211,0.86536,0.80768,0.90497,0.74292,0.6772,0.59953,0.86887,0.000469145,0.000469145,0.000469145
36,217.728,0.6709,0.61045,0.8793,0.89368,0.85102,0.9096,0.75038,0.66273,0.6044,0.86016,0.000445334,0.000445334,0.000445334
37,223.77,0.70701,0.60161,0.87299,0.83058,0.92391,0.917,0.73591,0.67036,0.61079,0.86106,0.000421663,0.000421663,0.000421663
38,229.598,0.69532,0.60075,0.87867,0.86496,0.85414,0.8974,0.74301,0.67447,0.59236,0.86816,0.000398187,0.000398187,0.000398187
39,235.467,0.66255,0.58968,0.86581,0.88419,0.85198,0.8546,0.69335,0.67188,0.55737,0.86778,0.00037496,0.00037496,0.00037496
40,241.378,0.65344,0.59218,0.87352,0.85392,0.88125,0.86283,0.70944,0.65875,0.5533,0.85972,0.000352037,0.000352037,0.000352037
41,247.33,0.68065,0.59974,0.87449,0.82482,0.93057,0.93789,0.77692,0.64723,0.54718,0.85597,0.000329471,0.000329471,0.000329471
42,253.138,0.66,0.58489,0.86271,0.90103,0.89544,0.9373,0.77947,0.63038,0.53655,0.85055,0.000307315,0.000307315,0.000307315
43,259.044,0.66091,0.57496,0.87007,0.88051,0.87543,0.92162,0.78149,0.64036,0.52232,0.8569,0.00028562,0.00028562,0.00028562
